Hostname,Target,Sample Date YMD,Sample Time HHMM,Count in seconds,Incoming traffic in bps (avg day),Outgoing traffic in bps (avg day),Peak inbound traffic in bps,Peak outbound traffic in bps
sites,GigabitEthernet1/0,5/11/2021,2:00,1620691200,5781423.7,11384362.4,63644234.5,101220782
sites,GigabitEthernet1/0,5/12/2021,2:00,1620777600,11626932.3,2173579.7,109118669.1,47778532.8
sites,GigabitEthernet1/0,5/13/2021,2:00,1620864000,10918171,2766208.4,104048418.6,22674351.4
sites,GigabitEthernet1/0,5/14/2021,2:00,1620950400,1406510,321350.7,8476413,15258511.3
sites,GigabitEthernet1/0,5/15/2021,2:00,1621036800,1619331.7,319622.8,13252974.4,5589343.5
sites,GigabitEthernet1/0,5/16/2021,2:00,1621123200,1826649.9,3389587.5,19738440.5,94733575.3
sites,GigabitEthernet1/0,5/17/2021,2:00,1621209600,1263160.9,419591.4,1667410,3280615.7
sites,GigabitEthernet1/0,5/18/2021,2:00,1621296000,12854599.3,5169227.4,107835176.3,53306925.5
sites,GigabitEthernet1/0,5/19/2021,2:00,1621382400,6792526.5,9182337.4,71031022,98751561.3
sites,GigabitEthernet1/0,5/20/2021,2:00,1621468800,4870395,1450471.6,75028497.7,38191987.1
sites,GigabitEthernet1/0,5/21/2021,2:00,1621555200,4905242.6,3384606.6,37845511.3,38256203.4
sites,GigabitEthernet1/0,5/22/2021,2:00,1621641600,3104743,3988136.2,28404742.8,13346561.2
sites,GigabitEthernet1/0,5/23/2021,2:00,1621728000,213412.3,1985248.5,5916224.1,77100806.4
sites,GigabitEthernet1/0,5/24/2021,2:00,1621814400,101799.8,167023.6,6886081.3,2741084.1
sites,GigabitEthernet1/0,5/25/2021,2:00,1621900800,109337,641294.2,5405707,47860155.5
sites,GigabitEthernet1/0,5/26/2021,2:00,1621987200,8755543.8,1612622,86039716.9,11606962.9
sites,GigabitEthernet1/0,5/27/2021,2:00,1622073600,6403454.1,1284630.7,83301049.4,21602953.9
sites,GigabitEthernet1/0,5/28/2021,2:00,1622160000,15225336,2860219.2,109124798.5,41365312.1
sites,GigabitEthernet1/0,5/29/2021,2:00,1622246400,10784336.3,10787684.8,95962580.5,101152615.7
sites,GigabitEthernet1/0,5/30/2021,2:00,1622332800,3743666,2825082.3,84874606.2,79413359.2
sites,GigabitEthernet1/0,5/31/2021,2:00,1622419200,2579184.4,441171.6,3226311,3400129.2
